"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"66502.3389991";"Vehicle speed";"2";"km/h";"46.5936192";"-72.8745017";
"66502.3996182";"Relative throttle position";"2.7450980392156863";"%";"46.5936192";"-72.8745017";
"66502.4590383";"Timing advance";"2.5";"°";"46.5936192";"-72.8745017";
"66502.5189963";"Calculated engine load value";"31.764705882352942";"%";"46.5936192";"-72.8745017";
"66502.5787661";"MAF air flow rate";"3.79";"g/sec";"46.5936192";"-72.8745017";
"66502.5787661";"Power from MAF";"4.548";"hp";"46.5936192";"-72.8745017";
"66502.6388686";"Calculated boost";"-0.65";"bar";"46.5936192";"-72.8745017";
"66502.6388686";"Intake manifold absolute pressure";"33";"kPa";"46.5936192";"-72.8745017";
"66502.7590015";"Actual Gear Ratio";"2.7422293430991074";"";"46.5936192";"-72.8745017";
"66502.819125";"Target Gear Ratio";"0.007812619211108568";"";"46.5936192";"-72.8745017";
"66502.9379609";"[ABS] Front left wheel speed";"3.4875";"km/h";"46.5936192";"-72.8745017";
"66502.9629351";"Altitude (GPS)";"245.9";"m";"46.5936243";"-72.8745040";
"66502.9629351";"Average speed (GPS)";"17.176774003020576";"km/h";"46.5936243";"-72.8745040";
"66502.9629351";"Speed (GPS)";"1.852";"km/h";"46.5936243";"-72.8745040";
"66502.9991903";"[ABS] Front right wheel speed";"3.6";"km/h";"46.5936243";"-72.8745040";
"66503.0589442";"[ABS] Rear left wheel speed";"3.7125";"km/h";"46.5936243";"-72.8745040";
"66503.119232";"[ABS] Rear right wheel speed";"3.88125";"km/h";"46.5936243";"-72.8745040";
"66503.1789399";"[ABS] Steering angle sensor";"1";"°";"46.5936243";"-72.8745040";
"66503.2993312";"AT/CVT Temperature v.1";"78";"℃";"46.5936243";"-72.8745040";
"66503.3590445";"Primary Pulley Speed";"611";"rpm";"46.5936243";"-72.8745040";
"66503.4187387";"Secondary Pulley Speed";"234";"rpm";"46.5936243";"-72.8745040";
"66503.4787074";"Turbine Speed";"672";"rpm";"46.5936243";"-72.8745040";
"66503.5389492";"Lock Up Duty Ratio";"0";"%";"46.5936243";"-72.8745040";
"66503.659083";"Engine coolant temperature";"89";"℃";"46.5936243";"-72.8745040";
"66503.7188021";"Engine oil temperature";"88";"℃";"46.5936243";"-72.8745040";
"66503.7790218";"Intake air temperature";"-6";"℃";"46.5936243";"-72.8745040";
"66503.8386267";"Barometric pressure";"98";"kPa";"46.5936243";"-72.8745040";
"66503.9578742";"Battery Terminal Voltage";"14.598";"V";"46.5936243";"-72.8745040";
"66504.0694827";"Average speed (GPS)";"16.11382930728579";"km/h";"46.5936379";"-72.8745102";
"66504.0694827";"Speed (GPS)";"4.815200000000001";"km/h";"46.5936379";"-72.8745102";
"66504.0788123";"AWD Solenoid Actual Current";"863";"mA";"46.5936379";"-72.8745102";
"66504.1383834";"AWD Solenoid Set Current";"859";"mA";"46.5936379";"-72.8745102";
"66504.2582904";"Short term fuel % trim - Bank 1";"0";"%";"46.5936379";"-72.8745102";
"66504.3180335";"Long term fuel % trim - Bank 1";"1.5625";"%";"46.5936379";"-72.8745102";
"66504.438857";"Knocking Correction";"0";"°";"46.5936379";"-72.8745102";
"66504.5585003";"Engine RPM";"2305";"rpm";"46.5936379";"-72.8745102";
"66504.5585003";"Engine RPM x1000";"2.3";"rpm";"46.5936379";"-72.8745102";
"66504.6190032";"Average speed";"12.762382800645785";"km/h";"46.5936379";"-72.8745102";
"66504.6190032";"Distance travelled";"0.046195228444444444";"km";"46.5936379";"-72.8745102";
"66504.6190032";"Distance travelled (Today)";"128.208969";"km";"46.5936379";"-72.8745102";
"66504.6190032";"Distance travelled (total)";"168.827541";"km";"46.5936379";"-72.8745102";
"66504.6190032";"Distance travelled (Week)";"150.631282";"km";"46.5936379";"-72.8745102";
"66504.6190032";"Vehicle speed";"15";"km/h";"46.5936379";"-72.8745102";
"66504.6789006";"Relative throttle position";"9.019607843137255";"%";"46.5936379";"-72.8745102";
"66504.7388558";"Timing advance";"28.5";"°";"46.5936379";"-72.8745102";
"66504.7996192";"Calculated engine load value";"65.09803921568627";"%";"46.5936379";"-72.8745102";
"66504.8588151";"MAF air flow rate";"29.3";"g/sec";"46.5936379";"-72.8745102";
"66504.8588151";"Power from MAF";"35.16";"hp";"46.5936379";"-72.8745102";
"66504.9188454";"Calculated boost";"-0.26";"bar";"46.5936379";"-72.8745102";
"66504.9188454";"Intake manifold absolute pressure";"72";"kPa";"46.5936379";"-72.8745102";
"66505.0390621";"Actual Gear Ratio";"2.3125352864881363";"";"46.5936379";"-72.8745102";
"66505.065298";"Altitude (GPS)";"245.8";"m";"46.5936703";"-72.8745248";
"66505.065298";"Average speed (GPS)";"15.914197144984904";"km/h";"46.5936703";"-72.8745248";
"66505.065298";"Speed (GPS)";"13.3344";"km/h";"46.5936703";"-72.8745248";
"66505.0984764";"Target Gear Ratio";"0.007812619211108568";"";"46.5936703";"-72.8745248";
"66505.2188193";"[ABS] Front left wheel speed";"20.5875";"km/h";"46.5936703";"-72.8745248";
"66505.2789024";"[ABS] Front right wheel speed";"21.20625";"km/h";"46.5936703";"-72.8745248";
"66505.338977";"[ABS] Rear left wheel speed";"21.825";"km/h";"46.5936703";"-72.8745248";
"66505.3991631";"[ABS] Rear right wheel speed";"22.44375";"km/h";"46.5936703";"-72.8745248";
"66505.4582749";"[ABS] Steering angle sensor";"0";"°";"46.5936703";"-72.8745248";
"66505.5787137";"AT/CVT Temperature v.1";"78";"℃";"46.5936703";"-72.8745248";
"66505.638792";"Primary Pulley Speed";"2254";"rpm";"46.5936703";"-72.8745248";
"66505.6983309";"Secondary Pulley Speed";"1135";"rpm";"46.5936703";"-72.8745248";
"66505.7588555";"Turbine Speed";"2304";"rpm";"46.5936703";"-72.8745248";
"66505.8181298";"Lock Up Duty Ratio";"48.5";"%";"46.5936703";"-72.8745248";
"66505.9384778";"Engine oil temperature";"87";"℃";"46.5936703";"-72.8745248";
"66505.9992262";"Intake air temperature";"-6";"℃";"46.5936703";"-72.8745248";
"66506.0480618";"Average speed (GPS)";"16.30733560694896";"km/h";"46.5937232";"-72.8745484";
"66506.0480618";"Speed (GPS)";"21.853600000000007";"km/h";"46.5937232";"-72.8745484";
"66506.0583588";"Barometric pressure";"98";"kPa";"46.5937232";"-72.8745484";
"66506.1782032";"Battery Terminal Voltage";"14.606";"V";"46.5937232";"-72.8745484";
"66506.2981824";"AWD Solenoid Actual Current";"581";"mA";"46.5937232";"-72.8745484";
"66506.3591727";"AWD Solenoid Set Current";"577";"mA";"46.5937232";"-72.8745484";
"66506.4792676";"Short term fuel % trim - Bank 1";"-1.5625";"%";"46.5937232";"-72.8745484";
"66506.5386976";"Long term fuel % trim - Bank 1";"1.5625";"%";"46.5937232";"-72.8745484";
"66506.658584";"Knocking Correction";"0";"°";"46.5937232";"-72.8745484";
"66506.7784261";"Engine RPM";"2672";"rpm";"46.5937232";"-72.8745484";
"66506.7784261";"Engine RPM x1000";"2.7";"rpm";"46.5937232";"-72.8745484";
"66506.8383023";"Average speed";"15.998243595950255";"km/h";"46.5937232";"-72.8745484";
"66506.8383023";"Distance travelled";"0.06776916913888889";"km";"46.5937232";"-72.8745484";
"66506.8383023";"Distance travelled (Today)";"128.230543";"km";"46.5937232";"-72.8745484";
"66506.8383023";"Distance travelled (total)";"168.849115";"km";"46.5937232";"-72.8745484";
"66506.8383023";"Distance travelled (Week)";"150.652856";"km";"46.5937232";"-72.8745484";
"66506.8383023";"Vehicle speed";"35";"km/h";"46.5937232";"-72.8745484";
"66506.8992883";"Relative throttle position";"17.254901960784313";"%";"46.5937232";"-72.8745484";
"66506.9584261";"Timing advance";"10";"°";"46.5937232";"-72.8745484";
"66507.0188818";"Calculated engine load value";"94.90196078431373";"%";"46.5937232";"-72.8745484";
"66507.078529";"MAF air flow rate";"51.32";"g/sec";"46.5937232";"-72.8745484";
"66507.078529";"Power from MAF";"61.583999999999996";"hp";"46.5937232";"-72.8745484";
"66507.1385322";"Calculated boost";"-0.14";"bar";"46.5937232";"-72.8745484";
"66507.1385322";"Intake manifold absolute pressure";"84";"kPa";"46.5937232";"-72.8745484";
"66507.1544794";"Altitude (GPS)";"245.7";"m";"46.5938017";"-72.8745827";
"66507.1544794";"Average speed (GPS)";"17.424085804039212";"km/h";"46.5938017";"-72.8745827";
"66507.1544794";"Speed (GPS)";"32.41000000000001";"km/h";"46.5938017";"-72.8745827";
"66507.2577474";"Actual Gear Ratio";"1.6015869382772565";"";"46.5938017";"-72.8745827";
"66507.3191549";"Target Gear Ratio";"0.003906309605554284";"";"46.5938017";"-72.8745827";
"66507.4388478";"[ABS] Front left wheel speed";"41.0625";"km/h";"46.5938017";"-72.8745827";
"66507.4988301";"[ABS] Front right wheel speed";"41.45625";"km/h";"46.5938017";"-72.8745827";
"66507.558364";"[ABS] Rear left wheel speed";"42.01875";"km/h";"46.5938017";"-72.8745827";
"66507.6189507";"[ABS] Rear right wheel speed";"42.46875";"km/h";"46.5938017";"-72.8745827";
"66507.6790677";"[ABS] Steering angle sensor";"2";"°";"46.5938017";"-72.8745827";
"66507.7988368";"AT/CVT Temperature v.1";"78";"℃";"46.5938017";"-72.8745827";
"66507.8591345";"Primary Pulley Speed";"3090";"rpm";"46.5938017";"-72.8745827";
"66507.918757";"Secondary Pulley Speed";"2000";"rpm";"46.5938017";"-72.8745827";
"66507.9791469";"Turbine Speed";"3136";"rpm";"46.5938017";"-72.8745827";
"66508.03738";"Altitude (GPS)";"245.5";"m";"46.5938991";"-72.8746253";
"66508.03738";"Average speed (GPS)";"18.617836236927392";"km/h";"46.5938991";"-72.8746253";
"66508.03738";"Speed (GPS)";"40.18840000000001";"km/h";"46.5938991";"-72.8746253";
"66508.0399478";"Lock Up Duty Ratio";"95.5";"%";"46.5938991";"-72.8746253";
"66508.1580471";"Engine coolant temperature";"88";"℃";"46.5938991";"-72.8746253";
"66508.2191022";"Engine oil temperature";"88";"℃";"46.5938991";"-72.8746253";
"66508.2822345";"Intake air temperature";"-6";"℃";"46.5938991";"-72.8746253";
"66508.3375337";"Barometric pressure";"98";"kPa";"46.5938991";"-72.8746253";
"66508.4584771";"Battery Terminal Voltage";"14.578";"V";"46.5938991";"-72.8746253";
"66508.5790947";"AWD Solenoid Actual Current";"490";"mA";"46.5938991";"-72.8746253";
"66508.6385996";"AWD Solenoid Set Current";"480";"mA";"46.5938991";"-72.8746253";
"66508.758666";"Short term fuel % trim - Bank 1";"-1.5625";"%";"46.5938991";"-72.8746253";
"66508.8179533";"Long term fuel % trim - Bank 1";"1.5625";"%";"46.5938991";"-72.8746253";
"66508.9379577";"Knocking Correction";"0";"°";"46.5938991";"-72.8746253";
"66509.0181236";"Altitude (GPS)";"245.4";"m";"46.5940167";"-72.8746781";
"66509.0181236";"Average speed (GPS)";"20.27411187686934";"km/h";"46.5940167";"-72.8746781";
"66509.0181236";"Speed (GPS)";"48.707600000000006";"km/h";"46.5940167";"-72.8746781";
"66509.0589833";"Engine RPM";"2864";"rpm";"46.5940167";"-72.8746781";
